Artist,Danceability,Valence
Claptone,0.7,0.59
Paul van Dyk,0.49,0.2
Paul Kalkbrenner,0.73,0.44
Alle Farben,0.7,0.47
Nils Frahm,0.32,0.2
Thomas Gold,0.64,0.44
Tale of Us,0.69,0.14
Oliver Koletzki,0.74,0.15
Tube & Berger,0.75,0.25
Pan-Pot,0.74,0.17
Apparat,0.57,0.25
Wankelmut,0.74,0.58
David August,0.2,0.09
Fritz Kalkbrenner,0.65,0.27
Booka Shade,0.72,0.22
Acid Pauli,0.75,0.4
Robosonic,0.82,0.67
&ME,0.77,0.3
FORMAT:B,0.82,0.41
Modeselektor,0.06,0.3
ANDHIM,0.7,0.45
Adam Port,0.73,0.33
AKA AKA,0.73,0.03
Rampa,0.67,0.17
Jesper Ryom,0.65,0.5
Henrik Schwarz,0.74,0.61
Recondite,0.75,0.23
Sascha Braemer,0.72,0.21
Ellen Allien,0.7,0.16
Einmusik,0.69,0.14
Schiller,0.58,0.34
Session Victim,0.69,0.6
Sidney Charles,0.8,0.53
Mano Le Tough,0.58,0.39
Anja Schneider,0.77,0.32
Machinedrum,0.74,0.41
Thomas Schumacher,0.69,0.26
Dennis Shepherd,0.52,0.45
Dirty Doering,0.64,0.45
Catz n Dogz,0.82,0.6
Mat.Joe,0.83,0.43
FEATHERED SUN,0.88,0.86
Monika Kruse,0.72,0.12
Daniel Steinberg,0.83,0.55
Dixon,0.8,0.53
Marcel Dettmann,0.52,0.17
Jazzanova,0.57,0.61
Rampue,0.73,0.34
Mind Against,0.33,0.07
Alexander Marcus,0.74,0.63
Clark,0.27,0.13
Pupkulies & Rebecca,0.8,0.26
NU,0.56,0.42
alva noto,0.32,0.04
Westbam,0.78,0.41
Ian Pooley,0.8,0.72
M.A.N.D.Y,0.79,0.16
Sascha Funke,0.77,0.3
Lexy & K-Paul,0.78,0.46
Martin Roth,0.61,0.37
Pfaffendorf,0.75,0.42
D-Nox,0.72,0.33
Niko Schwind,0.72,0.16
efdemin,0.63,0.15
Hunee,0.72,0.34
Andreas Henneberg,0.84,0.23
Steffi,0.67,0.44
Santée,0.81,0.79
Alfred Heinrichs,0.79,0.22
Marc Houle,0.8,0.27
Current Value,0.57,0.15
Marusha,0.42,0.2
Protonica,0.55,0.08
Tiefschwarz,0.62,0.42
Jonas Saalbach,0.69,0.13
David Keno,0.81,0.5
Isolee,0.95,0.64
Namito,0.74,0.15
Mari Ferrari,0.71,0.34
Scuba,0.75,0.27
Chaim,0.73,0.34
Objekt,0.44,0.11
Marcus Meinhardt,0.77,0.38
Simina Grigoriu,0.66,0.19
Cassy,0.82,0.45
Stephan Hinz,0.43,0.06
Frivolous,0.67,0.51
Aquarius Heaven,0.67,0.33
Donato Dozzy,0.69,0.38
Mathew Jonson,0.65,0.49
Alex Niggemann,0.78,0.48
Sebo K,0.85,0.45
Mouse on Mars,0.47,0.44
Re.You,0.74,0.38
DJ T.,0.76,0.54
Jean Elan,0.74,0.57
Jan Driver,0.7785,0.37625
